Target,Target Type,Metric,Database,Summary,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09
facebook.com,root domain,Organic Traffic,Worldwide,428538087679,1342683658,1292493181,1326930101,1548702127,1690198002,1760031570,1795134840,1798581852,1843537599,1849001774,1515650800,1618903320,1548054708,1381452133,1388185172,1235086185,1451872615,1661218009,1329930063,1331859337,1366808184,1489318983,1908679717,2754623532,2703456629,2767305165,2931504255,2947112228,2913591079,2948157080,3081958712,2783060775,2712698310,2706420989,2988610963,3054352916,3025084214,2764156722,2804726028,2699528285,2724146490,3113602845,3245753451,3186841570,3208949455,3185264491,3246481377,3146158349,3122309929,3149893116,3168907533,3241281361,3236280780,3212984564,3201845127,3174183103,3240660892,3253717003,3247901822,4615244949,4553415700,4502722973,4557447709,4667822646,4561446389,4566847173,4530560576,4587429508,4441939942,4454161675,4462963745,4746293666,4525427599,4572366843,4631979274,4636017982,4510363689,4527065052,4520717490,4468284140,4182618702,4494646059,4427813499,4438302547,4448797621,4457147113,4544882240,4569324847,4476289346,4559243922,4639966505,4409717660,4459669336,4423076400,3919218801,3861993387,3918203315,3933006249,3860618321,3890896545,3670603631,3588706927,3587019825,3622657374,3664523593,3711206762,3679964396,3771061087,3751481259,3742092124,3656296349,3759515362,3654840117,3635621065,3659649708,3565246994,3579779744,3556188934,3525100341,3497078658,3460072264,3353698145,3248854764,3212630386,3242482580,3306947523,3279250151,3297419708,3334321703
facebook.com,root domain,Organic Keywords,Worldwide,19342745372,17854489,17215642,17329680,17719966,18436473,18866483,18202327,16592468,16087409,16025847,15603101,16318476,17476985,20025901,20533827,20637032,20517349,23187436,24122506,22670388,21826407,21911635,22805313,26180258,25655786,25039879,25635169,26152380,26469380,25212643,26189784,30160511,30894875,31248858,31760433,29688215,29155820,29841382,30131429,28208078,27322906,30444706,29510556,29543217,29388799,72560480,71411269,71153895,65137896,70176365,69487927,85284507,83907070,82219736,81103108,78363039,73685597,71238182,80140190,128312778,144140376,149464121,146014698,144076293,143469702,141166479,141695977,147443307,142419592,141561827,139048815,136536213,143628243,163176660,154819299,153665312,152932803,153623833,153405317,149784446,147059309,146921741,143627711,143091263,142323055,143987870,157189623,172434279,182368477,202386788,228819834,240660932,249581594,246391104,262356429,317394579,318417967,331051945,336503744,340984546,338024052,347537072,349637355,352719404,354259707,363298805,358358009,367020075,371113088,368787017,355151033,346481726,336909826,331472924,330266631,313394860,313489413,308866454,314346630,318265579,317893626,322810651,308762195,309233968,303636406,322531756,325186521,325417620,322262623
facebook.com,root domain,Organic Traffic Cost,Worldwide,179473457776,559939332,540380493,561379980,797338370,891785798,843306030,1235898923,1318147279,1519728093,1364166440,1217400198,1462721092,1190966467,1287230663,1272012906,1184549964,1072819399,975420400,758654563,775914547,798120125,819263387,794477326,931493123,908925519,901157817,811139452,793880274,783205058,808996366,854641513,983232402,1012480985,1016330265,1134350654,1119719618,1086732965,1038632893,1045415891,1140002655,1138100694,1270251368,1265834073,1350205552,1345590880,1361845885,1361713708,1167461617,1144407082,1051514992,1056982215,1138051727,1122646687,1107375465,1089073815,1098932111,1092899758,1087827481,1121413126,1437174376,1409633425,1355824198,1422318549,1500793323,1442457493,1430557366,1402683497,1478866385,1392420148,1417177001,1544839227,1538590547,1080572537,1152439698,1158762637,1138986857,1121583051,1123858893,1105279537,1144538581,1030291595,1153714949,1129085969,1132303997,1134175998,1129265998,1157143190,1167777603,1152580815,1250350254,1271754345,1131435070,1078622650,1061730050,1474605328,1378010033,1362210626,1689414033,1837606339,1876443772,1846063444,2032720740,2142713405,2246055842,2214827969,2002947317,2087423858,2414108258,3362612993,2700366129,2920594395,3950175303,3597938547,3941449132,2701914763,2662622741,2394861806,2068017967,1887470915,1741732990,1612038395,1556713627,1418099965,1321006973,1469655058,1485245942,1458531814,1439830627,1413749460
facebook.com,root domain,Paid Traffic,Worldwide,5784959850,619830,578344,3844193,695824,526143,1040270,828774,792126,831951,1022043,720689,10683881,5594705,3015844,2537235,15399917,2163317,8413874,3593787,18755564,9055875,4810665,1630463,14198989,25804318,19945345,8439908,41749358,36735508,25960502,52641851,53132195,22498202,2414103,3027639,1236677,1252110,1188373,3595359,1806225,1191138,9003345,10367523,3184718,8911833,7975960,21601675,41226746,20657070,7538924,7092713,7108957,6951475,617198,6947218,6957441,1166444,8869112,8962005,28268516,88315019,86200709,96412959,97595620,93777523,92897269,118576229,106291599,51827576,55868977,90224636,111991153,105905792,137491018,133569317,140371783,111867292,80065327,32030910,42019987,86327778,2980573,36738792,55859102,132513964,164246353,114552424,111535874,122364436,173476598,158127436,185281921,169356638,147129691,83666796,76232929,67108865,68334086,52427948,51812679,27727835,47114126,58734162,56162144,49562088,35798647,37105090,30592542,37947266,38843388,39308486,41834126,39713917,65686583,53352103,69961992,53668115,32998932,37393847,33717452,26321584,32333991,30068334,35489450,43103833,45784418,40745256,42346610,40785968
facebook.com,root domain,Paid Keywords,Worldwide,9720743,203402,190047,226014,183423,126787,164116,120798,57107,56594,83821,90933,74171,60013,75751,112790,85978,85215,112414,131833,118817,103163,97300,117602,135528,94766,106400,122808,125315,156771,211681,171911,167160,173008,73562,71855,58269,37509,48995,44911,50415,49586,64626,65870,66974,68105,80321,72160,72914,72815,64770,53147,44671,29896,20108,29095,29862,29240,29244,19840,42200,17908,28407,74374,68957,64151,63360,59031,64204,77816,226592,219405,25575,23983,29296,29055,23323,26335,17017,8704,22218,35762,29651,25303,43230,37127,35601,57905,51880,90092,209260,136153,137561,104183,93139,68618,90252,57043,52039,55878,62211,39367,55080,58934,131984,134743,87994,71737,80574,50974,76314,58772,54722,62383,57696,45985,36773,41412,44690,43268,39885,29973,21724,16798,21116,26666,33226,41106,37559,42292
facebook.com,root domain,Paid Traffic Cost,Worldwide,1298499833,272734,275047,1444074,376241,267184,530418,372058,208965,227199,567579,362477,1509248,1326970,584508,931995,1805594,437666,1226450,1483079,2977380,1869245,2759980,490599,872043,1035081,3227794,2873227,4036573,1817258,1834204,14673905,8072355,8344418,310449,370366,303714,250298,349170,897731,309604,314092,692066,662144,420145,614342,550687,1256710,10720853,876126,343465,317109,327394,293178,84707,725360,406308,323737,367938,395543,1227093,14698419,13495969,7975957,9483998,7467788,10171302,22013451,19931596,3148872,5391757,12459731,14633955,9881582,23771209,21707823,25740016,13121917,7479306,4258074,4774640,24984443,1944535,3389219,5866074,34541319,40945093,28423959,26160239,28058132,64201887,39435744,34358445,27589351,19749536,9420995,15907772,8546026,7347814,8296861,19734003,9259083,11045929,14348755,13892097,10541654,7490986,4504152,8455485,7352062,14787760,21323091,25834502,20796982,82819227,124588650,22694158,9363566,6925461,8701564,6342325,4984628,13722296,5090062,5148542,10540717,8745321,7778098,8680382,9429612
