Target,Target Type,Metric,Database,Summary,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09
twitter.com,root domain,Organic Traffic,Worldwide,108722529827,179646915,157587154,206743474,309399700,286159589,233433442,227141310,298463409,290104541,304867447,387682513,402020898,388010070,468747204,442465855,445282952,392072436,343380741,369789125,382246232,367757680,405207945,537361693,761229194,786353888,747058412,811005537,778033015,780554633,997556826,928963845,784866135,885726455,865666567,699673652,599686068,568224469,767379128,766830277,738453977,800174605,996563315,1005201554,775313739,741684392,718406406,730240659,830327431,839045477,601780483,603648412,618615949,640464177,628609678,624473661,619881001,656855976,743138876,728255773,1115230493,1090934182,1095251889,1037532095,1004063079,973070785,999689564,895548918,1010544443,1031961627,1042712112,1066952750,1035095814,1303789353,1439926278,1272356162,1322086410,1294281453,1354103694,1370378772,1305726603,2475613729,1338147323,1314832661,1282960782,1308697912,1277925326,1323194604,1357921029,1326270672,977908621,958075756,950864682,787190937,753665914,721974747,783568506,767659503,796488069,761694804,765406365,630644953,673336476,679847321,702590422,695395224,709181330,703430422,852246959,880265752,889072043,893681644,961028311,1014472147,1051718192,1117834280,1123243809,1138126069,1090182628,1090465853,1094605830,1107337670,1110186765,1068616858,1041984740,1020852340,1065408057,1054837141,1089421245,1085700961
twitter.com,root domain,Organic Keywords,Worldwide,8182983135,2214064,2137204,2697309,4587368,4432630,4444296,4135927,4010142,3819775,4209297,4424516,4764104,4827875,5406111,5384251,5239519,5216716,5036961,5141480,4879133,5140023,5144171,4947557,5568853,5570432,5585475,5719115,5805395,5830867,5857517,5986816,7551708,8031297,7787117,8172619,7797330,7428998,7905728,7476304,6750584,6473635,7676484,7639013,7553546,7593298,27270657,27221552,27313659,25234869,28451669,27754608,31121195,31907268,32309868,31561520,30115180,28871665,28573547,33473747,54592035,61697718,64123170,62824168,61715128,62559972,64605155,65057168,67135146,67968542,67744535,68634959,70213380,74833151,87683160,81792875,80639465,80547730,81116774,82432097,80978412,79975897,79836870,80135126,78887735,77405603,76797065,83998957,90423053,95228898,101052872,108644369,109895874,110972650,105091342,108621367,128424585,126193295,123477273,124051332,126690017,112729558,116938973,118713263,121670714,119876226,120033356,118035486,135476719,140228939,137965324,133213919,128122112,132688890,138266709,145262394,143326993,148042748,145394827,148488902,153997471,152957203,157905834,151731901,149313349,143235116,153538044,153832051,146776931,145336699
twitter.com,root domain,Organic Traffic Cost,Worldwide,61652334870,100060484,91033952,118587095,186227420,174130187,162240101,171586136,227861601,231059888,240215884,324733351,300798638,333100760,462603136,425247232,417034827,309962758,290942778,290943743,301123613,302181698,325651565,377829159,466854815,460136165,458549006,427297825,438245854,448877938,502572463,486084258,540914376,575266508,562416607,424251109,377108241,397814992,507439302,515928543,478597410,440945916,556308171,590684106,383627321,361553312,326645907,341080583,451301713,440109615,390456062,395341199,453565070,476881918,457034353,460362678,446839414,483015056,519655004,515110949,731476264,663121754,652913269,644963690,631436790,583642701,587592125,491705756,627853443,624821896,607814425,647947655,598394813,678871618,723468265,645254214,691623191,676630951,711535085,713272705,683473647,1515247920,694325925,670119311,652672842,671615270,654697750,655080875,667473110,644434352,464545483,494027667,459813355,292897061,277892576,322528375,348200040,336916754,343284738,376078451,356665029,238122136,557354496,337536821,515902013,389866985,328839945,308652115,500288615,479629778,497601506,479668664,555600341,562393785,848300496,712714643,721713384,676100566,653158008,563342502,493212869,565862274,490744842,495973591,416623211,434802524,383162164,378550857,419410336,406844497
twitter.com,root domain,Paid Traffic,Worldwide,32481254,165,10610,4082,1129,8993,497791,431570,836,9494,37933,7585,4214,8139,4133,1730,43201,8656,443687,674730,193660,16054,24208,177745,55160,37276,26758,66524,78866,59651,379711,157565,360667,1116164,837202,790193,728464,18313,716679,15350,12705,986238,318957,874608,867262,56538,85870,140279,961404,116781,633014,15257,100338,99514,117273,29830,554004,12544,14676,537463,1634185,731006,807699,262870,671883,50096,106635,230723,163441,431035,1777155,1294561,423258,122855,97531,40441,636639,53987,122501,620779,310111,1171315,43384,18119,32729,12905,10274,565569,28654,34340,22298,25089,240957,67536,39664,540666,36991,49909,37374,28265,20587,46332,24768,1084872,1324278,154025,720261,52442,34200,42499,103362,20354,43737,27976,18808,14147,12197,11117,57878,55914,227890,42732,3577,4190,56150,17829,8049,5609,31503,29099
twitter.com,root domain,Paid Keywords,Worldwide,342798,145,724,335,592,773,1333,776,428,455,2673,2785,2412,2673,3168,576,8995,6896,3056,5731,2808,3883,4499,6638,5658,4685,2437,3535,3407,4205,49154,4928,6278,5561,2663,4606,3849,3489,4618,2958,2193,3250,3033,4230,4859,4452,4869,6284,6691,4412,3914,3391,3429,3858,2485,1891,2003,1473,1452,1362,3416,1001,1270,2173,2618,2183,4243,2514,3081,4010,11636,18071,2021,1353,598,1053,709,842,699,1511,2526,2330,1425,729,1885,726,762,964,245,451,828,338,417,513,504,269,1563,1108,747,441,697,974,1021,875,1106,1388,1319,1024,1131,351,477,260,507,292,180,201,145,216,266,389,621,355,105,91,128,137,183,169,273,228
twitter.com,root domain,Paid Traffic Cost,Worldwide,27236200,212,4994,1675,954,5140,452045,435103,225,4943,28420,7102,6533,6513,5940,1015,46714,27246,490338,3318112,109096,29364,40629,682632,84525,66593,37087,40432,51043,51675,484669,298506,303991,1144310,931053,953942,977033,33432,655825,45961,21567,936698,369424,479089,477854,75071,69415,111856,565863,102213,380884,19919,29597,19229,17440,18026,374861,21649,15430,362235,1062462,504373,688916,55345,134564,31846,131824,218779,200822,235170,532707,609371,436567,121408,77742,61626,352300,38214,87139,364686,267662,675610,57152,32082,130293,25437,32698,311322,163461,26080,49264,15849,73305,89383,115638,215056,61231,31846,31422,49199,58529,63211,46897,153392,179577,93132,96667,92605,65877,61715,45188,37123,96379,76237,61600,86451,49588,34655,53581,108874,238052,51276,25357,28665,94147,74073,41488,102551,149683,136437
